cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_6205_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6206_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CAMTA1
chr1:clu_6207_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CAMTA1
chr1:clu_6208_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6209_NA	Success	0.122966083514257	1	0.619954041336566	0.856677390945108	CAMTA1
chr1:clu_6210_NA	Success	1.67923690021874	2	0.18651625225833	0.612568561667497	CAMTA1
chr1:clu_6211_NA	Success	0.266955572461171	1	0.464967158447404	0.787675931243321	CAMTA1
chr1:clu_6212_NA	Success	0.636256705326559	2	0.529269933857178	0.813848181317203	CAMTA1
chr1:clu_6213_NA	Success	2.37396896338578	4	0.314151734762913	0.706516088034492	CAMTA1
chr1:clu_6214_NA	Success	0.67152329987573	1	0.246497408020614	0.66705562066892	VAMP3
chr1:clu_6215_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PER3
chr1:clu_6216_NA	Not enough valid samples	NA	NA	NA	NA	PER3
chr1:clu_6217_NA	Success	0.3520355923701	1	0.401419089230006	0.757601520805048	PER3
chr1:clu_6218_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PER3
chr1:clu_6219_NA	Success	0.59427331667257	1	0.275622913686412	0.690611332508119	PER3
chr1:clu_6220_NA	Success	0.477468691966692	1	0.328465704860141	0.718857847339677	PER3
chr1:clu_6221_NA	Success	2.30778492173158	1	0.0316829666151986	0.370569028037187	PER3
chr1:clu_6222_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PER3
chr1:clu_6223_NA	Not enough valid samples	NA	NA	NA	NA	PER3
chr1:clu_6224_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PER3
chr1:clu_6225_NA	Success	0.13133504245036	1	0.608291676437021	0.850586455671473	PER3
chr1:clu_6226_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PARK7
chr1:clu_6227_NA	Not enough valid samples	NA	NA	NA	NA	ERRFI1
chr1:clu_6228_NA	Success	4.99974359053908	4	0.0404363212473418	0.402060296246308	RERE
chr1:clu_6229_NA	Success	0.0919979923474443	1	0.667961408601862	0.877294363974834	RERE
chr1:clu_6230_NA	Not enough valid samples	NA	NA	NA	NA	RERE
chr1:clu_6231_NA	Success	1.38141820147075	3	0.429654301389238	0.772449245927393	RERE
chr1:clu_6232_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TMEM201
chr1:clu_6233_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CLSTN1
chr1:clu_6234_NA	Success	2.01857822720581	2	0.13284420515233	0.560858192681596	CLSTN1
chr1:clu_6235_NA	Success	8.3548133520809	2	0.000235261392825919	0.022471819707335	CLSTN1
chr1:clu_6236_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NMNAT1
chr1:clu_6237_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBE4B
chr1:clu_6238_NA	Not enough valid samples	NA	NA	NA	NA	UBE4B
chr1:clu_6239_NA	Success	0.361733297508181	2	0.696468092849844	0.88657019321804	UBE4B
chr1:clu_6240_NA	Success	0.488859694893108	5	0.964342764380041	0.984425756687452	UBE4B
chr1:clu_6241_NA	Not enough valid samples	NA	NA	NA	NA	UBE4B
chr1:clu_6242_NA	Success	2.12837210228281	4	0.372372966765159	0.739868937817676	UBE4B
chr1:clu_6243_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIF1B
chr1:clu_6244_NA	Success	0.120544674751898	1	0.623420433951952	0.858395986350647	KIF1B
chr1:clu_6245_NA	Success	0.788132066139497	2	0.45469333960849	0.783989847366934	KIF1B
chr1:clu_6246_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIF1B
chr1:clu_6247_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6248_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIF1B
chr1:clu_6249_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIF1B
chr1:clu_6250_NA	Success	0.0362971627148454	1	0.787596231782218	0.919685982940921	KIF1B
chr1:clu_6251_NA	Success	0.118710620994079	2	0.888064750876974	0.956391687028591	KIF1B
chr1:clu_6252_NA	Success	0.595906729712397	2	0.551062674368599	0.823457003087715	KIF1B
chr1:clu_6253_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_6254_NA	Success	0.0216382306375635	1	0.835205579953933	0.935993699281021	KIF1B
chr1:clu_6255_NA	Success	1.45585586935249	1	0.0879384949270602	0.499962099658328	KIF1B
chr1:clu_6256_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	APITD1-CORT,CORT
chr1:clu_6257_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PEX14
chr1:clu_6258_NA	Not enough valid samples	NA	NA	NA	NA	PEX14
chr1:clu_6259_NA	Success	2.74075465790884	3	0.139748757439317	0.570348512698648	TARDBP
chr1:clu_6260_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_6261_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6262_NA	Success	1.29736602120266	1	0.107219571713496	0.528626776756638	SRM
chr1:clu_6263_NA	Success	0.686782692025304	1	0.241200244760239	0.662113284977813	EXOSC10
chr1:clu_6264_NA	Success	1.01884374117026	2	0.361012122395449	0.736620338695932	EXOSC10
chr1:clu_6265_NA	Not enough valid samples	NA	NA	NA	NA	EXOSC10
chr1:clu_6266_NA	Success	4.65781867791355	2	0.00948713434311215	0.226374784237509	EXOSC10
chr1:clu_6267_NA	Success	5.40740661900918	4	0.0287260180804936	0.360069990909322	EXOSC10
chr1:clu_6268_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EXOSC10
chr1:clu_6269_NA	Success	0.286324273898572	2	0.751019040584262	0.907203089081013	EXOSC10
chr1:clu_6270_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MTOR
chr1:clu_6271_NA	Not enough valid samples	NA	NA	NA	NA	MTOR
chr1:clu_6272_NA	Success	0.0105732656692794	1	0.884380482926189	0.955216109503357	MTOR
chr1:clu_6273_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MTOR
chr1:clu_6274_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MTOR
chr1:clu_6275_NA	Success	0.650332249891107	2	0.521872355919657	0.811844001508947	MTOR
chr1:clu_6276_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MTOR
chr1:clu_6277_NA	Not enough valid samples	NA	NA	NA	NA	MTOR
chr1:clu_6278_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBIAD1
chr1:clu_6279_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FBXO44
chr1:clu_6280_NA	Not enough valid samples	NA	NA	NA	NA	FBXO44
chr1:clu_6281_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FBXO44
chr1:clu_6282_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6283_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_6284_NA	Not enough valid samples	NA	NA	NA	NA	CLCN6
chr1:clu_6285_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CLCN6
chr1:clu_6286_NA	Success	2.96504180391571	2	0.051558313860656	0.438228488043159	CLCN6
chr1:clu_6287_NA	Success	0.518814550482176	1	0.308373522075567	0.703334347497578	CLCN6
chr1:clu_6288_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NPPA-AS1
chr1:clu_6289_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NPPA-AS1
chr1:clu_6290_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLOD1
chr1:clu_6291_NA	Not enough valid samples	NA	NA	NA	NA	PLOD1
chr1:clu_6292_NA	Success	1.18563261929603	5	0.795745464320123	0.922359586341815	MFN2
chr1:clu_6293_NA	Success	0.24724372229457	2	0.780950335327378	0.917474458462842	VPS13D
chr1:clu_6294_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VPS13D
chr1:clu_6295_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VPS13D
chr1:clu_6296_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	VPS13D
chr1:clu_6297_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VPS13D
chr1:clu_6298_NA	Success	0.132487345555944	2	0.875914018241013	0.951831880100033	VPS13D
chr1:clu_6299_NA	Success	1.02020446176311	2	0.360521219832593	0.736620338695932	VPS13D
chr1:clu_6300_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VPS13D
chr1:clu_6301_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VPS13D
chr1:clu_6302_NA	Success	2.67158918232193	1	0.0208035094841135	0.322804731330905	VPS13D
chr1:clu_6303_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PRDM2
chr1:clu_6304_NA	Success	0.00278762514813025	1	0.940479188170636	0.977500013985977	PRDM2
chr1:clu_6305_NA	Success	4.95510891214531	5	0.0778195234778171	0.487084503666377	PRDM2
chr1:clu_6306_NA	Not enough valid samples	NA	NA	NA	NA	FHAD1
chr1:clu_6307_NA	Success	4.05892170887734	3	0.043637996486213	0.409990502506169	FHAD1
chr1:clu_6308_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FHAD1
chr1:clu_6309_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FHAD1
chr1:clu_6310_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CASP9
chr1:clu_6311_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CASP9
chr1:clu_6312_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CASP9
chr1:clu_6313_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DNAJC16
chr1:clu_6314_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DDI2
chr1:clu_6315_NA	Not enough valid samples	NA	NA	NA	NA	DDI2
chr1:clu_6316_NA	Success	3.70297519204132	1	0.00650084915499022	0.188909182768674	DDI2
chr1:clu_6317_NA	Success	1.64051997370439	2	0.19387920398863	0.620974398177312	PLEKHM2
chr1:clu_6318_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLEKHM2
chr1:clu_6319_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SPEN
chr1:clu_6320_NA	Success	0.557505750682935	1	0.290995148044733	0.698442519132029	SPEN
chr1:clu_6321_NA	Success	0.181530273249905	1	0.546811380061044	0.821911403967055	SPEN
chr1:clu_6322_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZBTB17
chr1:clu_6323_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FBXO42
chr1:clu_6324_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FBXO42
chr1:clu_6325_NA	Success	0.892554171359819	1	0.18152330044472	0.61124537218864	FBXO42
chr1:clu_6326_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SZRD1
chr1:clu_6327_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CROCCP3
chr1:clu_6328_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CROCCP3
chr1:clu_6329_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CROCCP3
chr1:clu_6330_NA	Not enough valid samples	NA	NA	NA	NA	NBPF1
chr1:clu_6331_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NBPF1
chr1:clu_6332_NA	Success	1.53011354118405	4	0.547797622903702	0.822690340931646	NBPF1
chr1:clu_6333_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NBPF1
chr1:clu_6334_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6335_NA	Success	2.64360245665398	2	0.0711046561728525	0.472105566332264	ATP13A2
chr1:clu_6336_NA	Success	2.37568738859795	2	0.092950574081118	0.510312997456526	ATP13A2
chr1:clu_6337_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ATP13A2
chr1:clu_6338_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ATP13A2
chr1:clu_6339_NA	Success	0.827386186046681	1	0.1983106284001	0.626768517945905	SDHB
chr1:clu_6340_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PADI2
chr1:clu_6341_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ARHGEF10L
chr1:clu_6342_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	IGSF21
chr1:clu_6343_NA	Not enough valid samples	NA	NA	NA	NA	IGSF21
chr1:clu_6344_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_6345_NA	Success	0.085991614598754	1	0.678355230399553	0.878803795692806	IGSF21
chr1:clu_6346_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	IFFO2
chr1:clu_6347_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_6348_NA	Success	0.780497334332154	4	0.815784862445612	0.930212959101242	UBR4
chr1:clu_6349_NA	Success	0.20706894270451	1	0.519876714776361	0.810924617174217	UBR4
chr1:clu_6350_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_6351_NA	Success	1.00226533381857	2	0.367047014650158	0.739036655739152	UBR4
chr1:clu_6352_NA	Success	11.2634826114752	2	1.28331022566615e-05	0.00232256636631088	UBR4
chr1:clu_6353_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_6354_NA	Success	0.533957913196502	1	0.301416686186189	0.700880303916561	UBR4
chr1:clu_6355_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_6356_NA	Success	0.241595033420595	1	0.486980889635371	0.797587801971212	UBR4
chr1:clu_6357_NA	Success	0.0424365307403178	1	0.770799086328176	0.914352554361916	UBR4
chr1:clu_6358_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_6359_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBR4
chr1:clu_6360_NA	Not enough valid samples	NA	NA	NA	NA	EMC1
chr1:clu_6361_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EMC1
chr1:clu_6362_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AKR7A3,AKR7L
chr1:clu_6363_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AKR7A2
chr1:clu_6364_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PQLC2
chr1:clu_6365_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CAPZB
